ID Tweet,ID User,Screen Name,Tweet,Timestamp
b'1127120623660965894',b'1112654209537597441',AccesHit,b'@PakarLogika @susipudjiastuti Lanjut dong\n#SusiDuaPeriode',2019-05-11 07:57:52
b'1127120609270349824',b'4157338427',Bray_Mahri,b'@justiceforfair Karena bu Susi tegas dan cerdas #SusiDuaPeriode',2019-05-11 07:57:48
b'1127120608636981249',b'1125960282994438148',YeniWidya11,b'@justiceforfair Kementan paling easy going dan wanita berjiwa baja\n#SusiDuaPeriode',2019-05-11 07:57:48
b'1127120577204932608',b'4324478299',JuribiUlfi,b'@justiceforfair Bu Susi itu Kerja Nyata Banget #SusiDuaPeriode',2019-05-11 07:57:41
b'1127120560796782592',b'4324478299',JuribiUlfi,b'@justiceforfair Kinerjanya sudah tak perlu diragukan lagi #SusiDuaPeriode',2019-05-11 07:57:37
b'1127120558691241984',b'3479869094',martini_sw,b'@justiceforfair Karna bu susi program kerjanya dilakukan smua #SusiDuaPeriode 2',2019-05-11 07:57:36
b'1127120511064870912',b'4324478299',JuribiUlfi,b'@justiceforfair Bu Susi Banyak Memberikan Dampak Positif di Sektor Kelautan dan Perikanan #SusiDuaPeriode',2019-05-11 07:57:25
b'1127120490336641025',b'3479869094',martini_sw,b'@justiceforfair Karna bu susi Bekerja dg baik #SusiDuaPeriode 1',2019-05-11 07:57:20
b'1127120487811653632',b'1114525126538563584',InitialRs,b'@justiceforfair Tegas dan berani mengambil keputusan yang tepat #SusiDuaPeriode',2019-05-11 07:57:19
b'1127120426147012609',b'4324478299',JuribiUlfi,b'@justiceforfair Salah satu Kartini masa kini #SusiDuaPeriode',2019-05-11 07:57:05
b'1127120408270872576',b'1103250133901238272',manggacengkir91,b'@PakarLogika @susipudjiastuti Lanjutkan \xf0\x9f\x91\x8d\n#SusiDuaPeriode',2019-05-11 07:57:00
b'1127120404026277888',b'1039352505358897152',Toko4dcso,b'RESULT SYDNEY 11 MEI 2019\n4 6 5 8 SAH\nSHIO HARIMAU\nUntuk Informasi Lebih Lanjut Silahkan Hubungi Kami Di:\nBBM : DCE35DCF - D8AEF213\nWechat TOKO4DCS\nLine : TOKO4D\nWA : +6282243253051\n#TiketPesawatTidakMahal #JaringanDataTerkuat #SusiDuaPeriode https://t.co/32WrhILIAf',2019-05-11 07:56:59
b'1127120394849095681',b'1103110004259708929',Zombie99_,b'@makLambeTurah Dukung trs bu @susipudjiastuti  #SusiDuaPeriode',2019-05-11 07:56:57
b'1127120384292114433',b'1117744893294546944',NeysaPrisca,b'Kronologi Kerusuhan dan Pembakaran Rutan Siak versi Ditjen Pas\n\nKlik Link Di Bawa Ini:\nhttps://t.co/Z2VxxGnShR\n\n#TiketPesawatTidakMahal #JaringanDataTerkuat #DigiIftar\n#KBIftar #SusiDuaPeriode #agenresmisbo #binbincash https://t.co/b1OSjQl6oQ',2019-05-11 07:56:55
b'1127120377220554752',b'4324478299',JuribiUlfi,b'@justiceforfair Banyak kebijakan Beliau yang menguntungkan bangsa #SusiDuaPeriode',2019-05-11 07:56:53
b'1127120363932938240',b'1114525126538563584',InitialRs,b'@justiceforfair Harga ikan terjangkau #SusiDuaPeriode',2019-05-11 07:56:50
b'1127120328017174528',b'914795943534440449',ichalh7,b'@AyuKhanza5 Mantul kata2nya \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e lanjut #SusiDuaPeriode',2019-05-11 07:56:41
b'1127120306215182336',b'1039408716435472384',CASINOBET77cs,b'RESULT SYDNEY 11 MEI 2019\n4 6 5 8 SAH\nSHIO HARIMAU\nUntuk Informasi Lebih Lanjut Silahkan Hubungi Kami di:\nBBM : D6235F1C\nWa : 082321371502\nWECHAT : CASINOBET77CS1\nLINE : CASINOBET77\nCustomer Service 24 Jam Online\n#TiketPesawatTidakMahal #JaringanDataTerkuat #SusiDuaPeriode https://t.co/2PzL93LD9k',2019-05-11 07:56:36
b'1127120297985888257',b'57296896',hndsanjaya,b'@PakarLogika @susipudjiastuti Mantap kali bu susi ini\n#SusiDuaPeriode',2019-05-11 07:56:34
b'1127120254981656577',b'1114525126538563584',InitialRs,b'@justiceforfair Memberantas ilegal fishing #SusiDuaPeriode',2019-05-11 07:56:24
b'1127120210966614016',b'3279237540',MaransContainer,b'SMA Negeri Jurusan IPA Terbaik di Jakarta - Hasil UNBK 2019 https://t.co/1mjuG7qXB1 Jual Reefer Container &amp; Modifikasi https://t.co/37XEqr97bI #JaringanDataTerkuat #Digilftar #SusiDuaPeriode #BenciTapiButuh2Juga https://t.co/2LUVz72gZP',2019-05-11 07:56:13
b'1127120154242871297',b'1114525126538563584',InitialRs,b'@justiceforfair Peduli nasib nelayan #SusiDuaPeriode',2019-05-11 07:56:00
b'1127120115886055425',b'2934012506',AliKayyis,b'@justiceforfair Bu susi  membuat negara luar takut mencuri ikan di Indonesia #SusiDuaPeriode',2019-05-11 07:55:51
