F1,FN,FP,Fold,TN,TP,accuracy,precision,recall
1.0,0,0,1,4,7,1.0,1.0,1.0
0.7058823529411764,4,1,2,0,6,0.5454545454545454,0.8571428571428571,0.6
0.2,2,6,3,2,1,0.2727272727272727,0.14285714285714285,0.3333333333333333
0.6666666666666666,3,2,4,1,5,0.5454545454545454,0.7142857142857143,0.625
0.6666666666666666,1,3,5,3,4,0.6363636363636364,0.5714285714285714,0.8
0.6666666666666666,3,2,6,1,5,0.5454545454545454,0.7142857142857143,0.625
0.8333333333333333,0,2,7,4,5,0.8181818181818182,0.7142857142857143,1.0
0.6666666666666666,3,2,8,1,5,0.5454545454545454,0.7142857142857143,0.625
0.7692307692307692,1,2,9,3,5,0.7272727272727273,0.7142857142857143,0.8333333333333334
0.7692307692307692,1,2,10,2,5,0.7,0.7142857142857143,0.8333333333333334
